Código da Equipe: 04
Componentes:
	nome; email; (71)x xxxx-xxxx
	nome; email; (71)x xxxx-xxxx
	nome; email; (71)x xxxx-xxxx
	nome; email; (71)x xxxx-xxxx

RELATÓRIO DA ANÁLISE DA TABELA DE SÍMBOLOS. Texto fonte analisado: Testes/teste.241


Entrada: 1, Código: C07, Lexeme: TESTE, QntCharAntesTrunc: 5, QntCharDepoisTrunc: 5, TipoSimbolo: VOI, Linhas = [1]

Entrada: 2, Código: C07, Lexeme: COCO123, QntCharAntesTrunc: 7, QntCharDepoisTrunc: 7, TipoSimbolo: VOI, Linhas = [5]

Entrada: 3, Código: C03, Lexeme: 2, QntCharAntesTrunc: 1, QntCharDepoisTrunc: 1, TipoSimbolo: INT, Linhas = [5]

Entrada: 4, Código: C07, Lexeme: SHOW, QntCharAntesTrunc: 4, QntCharDepoisTrunc: 4, TipoSimbolo: VOI, Linhas = [5]

Entrada: 5, Código: C03, Lexeme: 3, QntCharAntesTrunc: 1, QntCharDepoisTrunc: 1, TipoSimbolo: INT, Linhas = [5]

Entrada: 6, Código: C07, Lexeme: ESSAVARIAVELTEMMUITOCARACTEREE, QntCharAntesTrunc: 37, QntCharDepoisTrunc: 30, TipoSimbolo: VOI, Linhas = [7, 9]

Entrada: 7, Código: C03, Lexeme: 3, QntCharAntesTrunc: 1, QntCharDepoisTrunc: 1, TipoSimbolo: INT, Linhas = [9]

Entrada: 8, Código: C03, Lexeme: 2, QntCharAntesTrunc: 1, QntCharDepoisTrunc: 1, TipoSimbolo: INT, Linhas = [9]

